股票代码,股票名,年报日期,净资产收益率(%)
sh688111,金山办公,20151231,-40.4974
sh688118,普元信息,20151231,27.9645
sh688127,蓝特光学,20151231,9.4415
sh688131,皓元医药,20151231,25.9625
sh688133,泰坦科技,20151231,11.6424
sh688135,利扬芯片,20151231,25.6651
sh688138,清溢光电,20151231,15.6531
sh688148,芳源股份,20151231,3.5861
sh688150,莱特光电,20151231,59.1801
sh688153,唯捷创芯,20151231,52.5381
sh688160,步科股份,20151231,13.966
sh688163,赛伦生物,20151231,17.6545
sh688167,炬光科技,20151231,15.2506
sh688186,广大特材,20151231,24.1712
sh688191,智洋创新,20151231,36.0532
sh688196,卓越新能,20151231,2.0143
sh688202,美迪西,20151231,71.4551
sh688215,瑞晟智能,20151231,36.4244
sh688216,气派科技,20151231,10.9837
sh688221,前沿生物-U,20151231,-5.2656
sh688226,威腾电气,20151231,19.8008
sh688229,博睿数据,20151231,67.331
sh688237,超卓航科,20151231,10.2948
sh688238,和元生物,20151231,-13.0018
sh688239,航宇科技,20151231,-1.6188
sh688244,永信至诚,20151231,18.4641
sh688255,凯尔达,20151231,19.981
sh688257,新锐股份,20151231,17.4901
sh688265,南模生物,20151231,29.4302
sh688267,中触媒,20151231,19.389
sh688268,华特气体,20151231,12.557
sh688269,凯立新材,20151231,25.3927
sh688277,天智航-U,20151231,-12.8539
sh688283,坤恒顺维,20151231,30.7338
sh688291,金橙子,20151231,37.4603
sh688292,浩瀚深度,20151231,13.806
sh688296,和达科技,20151231,50.7619
sh688299,长阳科技,20151231,3.1585
sh688301,奕瑞科技,20151231,14.0334
sh688303,大全能源,20151231,13.7444
sh688309,*ST恒誉,20151231,11.1272
sh688315,诺禾致源,20151231,61.1745
sh688317,之江生物,20151231,14.3439
sh688318,财富趋势,20151231,27.2178
sh688319,欧林生物,20151231,-29.9175
sh688328,深科达,20151231,42.8315
sh688339,亿华通-U,20151231,90.7009
sh688350,富淼科技,20151231,13.7417
sh688351,微电生理-U,20151231,-21.9884
sh688359,三孚新科,20151231,0.4765
sh688360,德马科技,20151231,32.4627
sh688367,工大高科,20151231,5.2645
sh688368,晶丰明源,20151231,10.3668
sh688377,迪威尔,20151231,5.8981
sh688379,华光新材,20151231,5.6365
sh688390,固德威,20151231,27.2739
sh688391,钜泉科技,20151231,17.4159
sh688395,正弦电气,20151231,2.5247
sh688401,路维光电,20151231,19.1503
sh688410,山外山,20151231,1.834
sh688418,震有科技,20151231,13.1965
sh688435,英方软件,20151231,0.1853
sh688500,*ST慧辰,20151231,15.7591
sh688502,茂莱光学,20151231,11.6852
sh688510,航亚科技,20151231,-16.7902
sh688513,苑东生物,20151231,17.4295
sh688516,奥特维,20151231,112.279
sh688519,南亚新材,20151231,7.7952
sh688531,日联科技,20151231,11.409
sh688535,华海诚科,20151231,2.325
sh688539,高华科技,20151231,39.8894
sh688550,瑞联新材,20151231,6.4213
sh688555,*ST泽达,20151231,55.9866
sh688556,高测股份,20151231,9.1057
sh688558,国盛智科,20151231,16.031
sh688560,明冠新材,20151231,9.3058
sh688571,杭华股份,20151231,13.4893
sh688577,浙海德曼,20151231,-2.0798
sh688580,伟思医疗,20151231,33.6524
sh688595,芯海科技,20151231,41.2824
sh688596,正帆科技,20151231,5.5026
sh688597,煜邦电力,20151231,14.7818
sh688601,力芯微,20151231,41.5175
sh688611,杭州柯林,20151231,14.4049
sh688616,西力科技,20151231,44.0322
sh688622,禾信仪器,20151231,18.2142
sh688625,呈和科技,20151231,27.3485
sh688639,华恒生物,20151231,50.7848
sh688663,新风光,20151231,11.1012
sh688669,聚石化学,20151231,14.8902
sh688677,海泰新光,20151231,18.8991
sh688678,福立旺,20151231,6.191
sh688679,通源环境,20151231,29.7323
sh688681,科汇股份,20151231,20.9609
sh688687,凯因科技,20151231,6.2965
sh688689,银河微电,20151231,13.7145
sh688699,明微电子,20151231,11.607
sh688701,卓锦股份,20151231,49.955
sh688707,振华新材,20151231,1.2634
sh688711,宏微科技,20151231,3.8234
sh688733,壹石通,20151231,0.2239
sh688737,中自科技,20151231,-18.2066
sh688793,倍轻松,20151231,7.4031
sh688798,艾为电子,20151231,22.475
sh688799,华纳药厂,20151231,7.1708
sh688819,天能股份,20151231,23.6443
sz000005,ST星源,20151231,-6.0755
sz000713,丰乐种业,20151231,2.2487
sz001201,东瑞股份,20151231,12.8006
sz001205,盛航股份,20151231,20.7864
sz001206,依依股份,20151231,19.78
sz001210,金房节能,20151231,26.3867
sz001216,华瓷股份,20151231,9.896
sz001218,丽臣实业,20151231,13.2983
sz001219,青岛食品,20151231,14.04
sz001236,弘业期货,20151231,4.5254
sz001238,浙江正特,20151231,25.1087
sz001259,利仁科技,20151231,5.438
sz001269,欧晶科技,20151231,40.6644
sz001278,一彬科技,20151231,-16.7163
sz001296,长江材料,20151231,13.8645
sz001299,美能能源,20151231,23.2617
sz001313,粤海饲料,20151231,14.1085
sz001314,亿道信息,20151231,15.8152
sz001317,三羊马,20151231,44.6866
sz001330,博纳影业,20151231,13.0583
sz002955,鸿合科技,20151231,28.457
sz002959,小熊电器,20151231,312.987
sz002961,瑞达期货,20151231,32.229
sz002962,五方光电,20151231,68.5207
sz002963,豪尔赛,20151231,15.0431
sz002965,祥鑫科技,20151231,20.8544
sz002968,新大正,20151231,51.978
sz002970,锐明技术,20151231,37.7013
sz002971,和远气体,20151231,6.6889
sz002973,侨银股份,20151231,24.8637
sz002975,博杰股份,20151231,15.6232
sz002976,瑞玛精密,20151231,26.1731
sz002977,天箭科技,20151231,23.5369
sz002978,安宁股份,20151231,7.2351
sz002979,雷赛智能,20151231,25.4571
sz002980,华盛昌,20151231,47.8593
sz002982,湘佳股份,20151231,25.2029
sz002983,芯瑞达,20151231,56.5583
sz002984,森麒麟,20151231,9.3158
sz002985,北摩高科,20151231,6.5866
sz002988,豪美新材,20151231,11.7956
sz002989,中天精装,20151231,23.394
sz002992,宝明科技,20151231,-0.5172
sz002995,天地在线,20151231,75.2307
sz002996,顺博合金,20151231,11.8506
sz002997,瑞鹄模具,20151231,32.1895
sz002999,天禾股份,20151231,10.2673
sz003001,中岩大地,20151231,37.0138
sz003002,壶化股份,20151231,8.4621
sz003003,天元股份,20151231,29.1259
sz003004,声迅股份,20151231,27.1158
sz003006,百亚股份,20151231,16.5331
sz003010,若羽臣,20151231,6.9329
sz003012,东鹏控股,20151231,32.5789
sz003015,日久光电,20151231,13.1346
sz003016,欣贺股份,20151231,20.8205
sz003025,思进智能,20151231,17.9007
sz003026,中晶科技,20151231,4.8924
sz003030,祖名股份,20151231,8.727
sz003032,传智教育,20151231,81.1014
sz003033,征和工业,20151231,28.2593
sz003036,泰坦股份,20151231,3.8855
sz003039,顺控发展,20151231,8.8118
sz003042,中农联合,20151231,25.2207
sz003043,华亚智能,20151231,23.97
sz300564,筑博设计,20151231,24.4282
